label,Sensor_1,Sensor_2
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.12,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,0.09,295.72
HAND_RETREAT,0.05,296.26
HAND_RETREAT,0.06,296.86
HAND_RETREAT,0.05,297.3
HAND_RETREAT,0.05,297.6
HAND_RETREAT,0.05,298.04
HAND_RETREAT,0.05,298.44
HAND_RETREAT,0.05,298.58
HAND_RETREAT,0.05,298.62
HAND_RETREAT,0.05,298.52
HAND_RETREAT,0.08,298.32
HAND_RETREAT,0.12,297.78
HAND_RETREAT,0.14,296.62
HAND_RETREAT,0.17,296.18
HAND_RETREAT,0.2,295.8
HAND_RETREAT,0.25,295.62
HAND_RETREAT,0.3,295.46
HAND_RETREAT,0.34,295.26
HAND_RETREAT,0.37,295.12
HAND_RETREAT,0.43,294.98
HAND_RETREAT,0.46,294.98
HAND_RETREAT,0.5,294.92
HAND_RETREAT,0.54,294.88
HAND_RETREAT,0.57,294.86
HAND_RETREAT,0.59,294.76
HAND_RETREAT,0.63,294.76
HAND_RETREAT,0.66,294.78
HAND_RETREAT,0.69,294.72
HAND_RETREAT,0.72,294.72
HAND_RETREAT,0.76,294.7
HAND_RETREAT,0.79,294.64
HAND_RETREAT,0.79,294.7
HAND_RETREAT,0.86,294.72
HAND_RETREAT,0.84,294.66
HAND_RETREAT,0.96,294.64
HAND_RETREAT,0.98,294.6
HAND_RETREAT,0.91,294.6
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,0.17,295.26
HAND_RETREAT,0.09,295.52
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,0.05,296.9
HAND_RETREAT,0.05,297.98
HAND_RETREAT,0.06,298.58
HAND_RETREAT,0.04,298.58
HAND_RETREAT,0.05,298.56
HAND_RETREAT,0.06,298.52
HAND_RETREAT,0.06,298.34
HAND_RETREAT,0.07,297.98
HAND_RETREAT,0.11,297.5
HAND_RETREAT,0.12,297.0
HAND_RETREAT,0.16,296.6
HAND_RETREAT,0.18,296.3
HAND_RETREAT,0.21,295.96
HAND_RETREAT,0.26,295.72
HAND_RETREAT,0.28,295.56
HAND_RETREAT,0.32,295.4
HAND_RETREAT,0.36,295.28
HAND_RETREAT,0.37,295.2
HAND_RETREAT,0.39,295.16
HAND_RETREAT,0.41,294.98
HAND_RETREAT,0.45,294.94
HAND_RETREAT,0.47,294.86
HAND_RETREAT,0.5,294.82
HAND_RETREAT,0.56,294.76
HAND_RETREAT,0.55,294.76
HAND_RETREAT,0.56,294.72
HAND_RETREAT,0.6,294.72
HAND_RETREAT,0.62,294.72
HAND_RETREAT,0.66,294.7
HAND_RETREAT,0.7,294.72
HAND_RETREAT,0.72,294.7
HAND_RETREAT,0.75,294.64
HAND_RETREAT,0.79,294.7
HAND_RETREAT,0.77,294.66
HAND_RETREAT,3.12,-1.0
HAND_RETREAT,0.81,294.66
HAND_RETREAT,0.95,294.64
HAND_RETREAT,3.14,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,0.16,295.68
HAND_RETREAT,0.14,295.98
HAND_RETREAT,0.63,296.2
HAND_RETREAT,0.09,296.5
HAND_RETREAT,0.1,297.0
HAND_RETREAT,0.08,297.26
HAND_RETREAT,0.06,297.6
HAND_RETREAT,0.06,297.68
HAND_RETREAT,0.08,297.66
HAND_RETREAT,0.08,297.66
HAND_RETREAT,0.1,297.38
HAND_RETREAT,0.12,297.14
HAND_RETREAT,0.31,296.86
HAND_RETREAT,0.16,296.6
HAND_RETREAT,0.19,296.38
HAND_RETREAT,0.2,296.04
HAND_RETREAT,0.22,295.86
HAND_RETREAT,0.26,295.68
HAND_RETREAT,0.29,295.46
HAND_RETREAT,0.32,295.38
HAND_RETREAT,0.36,295.32
HAND_RETREAT,0.39,295.16
HAND_RETREAT,0.44,295.1
HAND_RETREAT,0.47,295.0
HAND_RETREAT,0.5,295.0
HAND_RETREAT,0.55,294.92
HAND_RETREAT,0.56,294.86
HAND_RETREAT,0.59,294.88
HAND_RETREAT,0.61,294.86
HAND_RETREAT,0.63,294.78
HAND_RETREAT,0.66,294.78
HAND_RETREAT,0.67,294.7
HAND_RETREAT,0.68,294.72
HAND_RETREAT,0.7,294.76
HAND_RETREAT,0.74,294.76
HAND_RETREAT,0.82,294.64
HAND_RETREAT,0.76,294.66
HAND_RETREAT,0.76,294.66
HAND_RETREAT,0.79,294.66
HAND_RETREAT,0.9,294.6
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,0.87,294.64
HAND_RETREAT,3.12,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.12,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,0.07,295.06
HAND_RETREAT,0.06,296.5
HAND_RETREAT,0.05,298.14
HAND_RETREAT,0.08,298.2
HAND_RETREAT,0.09,298.32
HAND_RETREAT,0.08,298.16
HAND_RETREAT,0.1,298.1
HAND_RETREAT,0.09,297.78
HAND_RETREAT,0.12,297.3
HAND_RETREAT,0.15,296.74
HAND_RETREAT,0.18,296.38
HAND_RETREAT,0.23,296.04
HAND_RETREAT,0.25,295.66
HAND_RETREAT,0.29,295.46
HAND_RETREAT,0.33,295.34
HAND_RETREAT,0.36,295.2
HAND_RETREAT,0.4,295.16
HAND_RETREAT,0.43,295.04
HAND_RETREAT,0.47,295.04
HAND_RETREAT,0.5,294.92
HAND_RETREAT,0.54,294.88
HAND_RETREAT,0.57,294.92
HAND_RETREAT,0.6,294.92
HAND_RETREAT,0.62,294.78
HAND_RETREAT,0.66,294.92
HAND_RETREAT,0.68,294.76
HAND_RETREAT,0.71,294.72
HAND_RETREAT,0.73,294.76
HAND_RETREAT,0.76,294.7
HAND_RETREAT,0.75,294.66
HAND_RETREAT,0.79,294.72
HAND_RETREAT,0.78,294.72
HAND_RETREAT,0.83,294.72
HAND_RETREAT,0.86,294.66
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.14,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,0.07,295.84
HAND_RETREAT,0.08,297.32
HAND_RETREAT,0.05,298.4
HAND_RETREAT,0.05,298.7
HAND_RETREAT,0.05,298.78
HAND_RETREAT,0.06,298.68
HAND_RETREAT,0.08,298.56
HAND_RETREAT,0.09,298.2
HAND_RETREAT,0.09,297.8
HAND_RETREAT,0.13,297.38
HAND_RETREAT,0.14,296.9
HAND_RETREAT,0.16,296.56
HAND_RETREAT,0.18,296.24
HAND_RETREAT,0.23,296.02
HAND_RETREAT,0.3,295.74
HAND_RETREAT,0.31,295.5
HAND_RETREAT,0.38,295.32
HAND_RETREAT,0.39,295.2
HAND_RETREAT,0.43,295.04
HAND_RETREAT,0.5,295.0
HAND_RETREAT,0.54,294.82
HAND_RETREAT,0.58,294.78
HAND_RETREAT,0.63,294.78
HAND_RETREAT,0.69,294.72
HAND_RETREAT,0.66,294.72
HAND_RETREAT,0.7,294.7
HAND_RETREAT,0.72,294.72
HAND_RETREAT,0.72,294.66
HAND_RETREAT,0.75,294.72
HAND_RETREAT,0.75,294.66
HAND_RETREAT,0.78,294.66
HAND_RETREAT,0.82,294.66
HAND_RETREAT,0.89,294.66
HAND_RETREAT,0.84,294.58
HAND_RETREAT,0.81,294.54
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,0.77,294.54
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,0.17,295.4
HAND_RETREAT,0.1,296.2
HAND_RETREAT,0.08,296.8
HAND_RETREAT,0.08,297.24
HAND_RETREAT,0.09,297.6
HAND_RETREAT,0.09,297.62
HAND_RETREAT,0.09,297.68
HAND_RETREAT,0.09,297.56
HAND_RETREAT,0.1,297.5
HAND_RETREAT,0.1,297.32
HAND_RETREAT,0.11,297.08
HAND_RETREAT,0.12,296.84
HAND_RETREAT,0.15,296.5
HAND_RETREAT,0.17,296.18
HAND_RETREAT,0.5,295.98
HAND_RETREAT,0.22,295.78
HAND_RETREAT,0.3,295.56
HAND_RETREAT,0.3,295.34
HAND_RETREAT,0.34,295.26
HAND_RETREAT,0.38,295.1
HAND_RETREAT,0.44,295.0
HAND_RETREAT,0.45,294.98
HAND_RETREAT,0.48,294.94
HAND_RETREAT,0.49,294.88
HAND_RETREAT,0.52,294.76
HAND_RETREAT,0.55,294.78
HAND_RETREAT,0.66,294.78
HAND_RETREAT,0.6,294.76
HAND_RETREAT,0.62,294.78
HAND_RETREAT,0.64,294.76
HAND_RETREAT,0.67,294.76
HAND_RETREAT,0.67,294.72
HAND_RETREAT,0.69,294.72
HAND_RETREAT,0.72,294.7
HAND_RETREAT,0.76,294.7
HAND_RETREAT,0.78,294.64
HAND_RETREAT,0.84,294.64
HAND_RETREAT,0.8,294.64
HAND_RETREAT,3.12,-1.0
HAND_RETREAT,0.78,294.58
HAND_RETREAT,0.74,294.58
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,0.12,295.92
HAND_RETREAT,0.09,296.26
HAND_RETREAT,0.09,296.48
HAND_RETREAT,0.08,296.68
HAND_RETREAT,0.09,296.86
HAND_RETREAT,0.09,296.72
HAND_RETREAT,0.09,296.84
HAND_RETREAT,0.11,296.84
HAND_RETREAT,0.09,296.78
HAND_RETREAT,0.11,296.78
HAND_RETREAT,0.13,296.66
HAND_RETREAT,0.14,296.48
HAND_RETREAT,0.16,296.26
HAND_RETREAT,0.19,296.04
HAND_RETREAT,0.21,295.9
HAND_RETREAT,0.24,295.66
HAND_RETREAT,0.26,295.44
HAND_RETREAT,0.3,295.32
HAND_RETREAT,0.31,295.26
HAND_RETREAT,0.33,295.1
HAND_RETREAT,0.37,295.0
HAND_RETREAT,0.39,294.98
HAND_RETREAT,0.43,295.0
HAND_RETREAT,0.47,294.88
HAND_RETREAT,0.5,294.86
HAND_RETREAT,0.55,294.82
HAND_RETREAT,0.59,294.78
HAND_RETREAT,0.6,294.72
HAND_RETREAT,0.65,294.76
HAND_RETREAT,0.66,294.72
HAND_RETREAT,0.7,294.66
HAND_RETREAT,0.73,294.7
HAND_RETREAT,0.74,294.7
HAND_RETREAT,0.77,294.66
HAND_RETREAT,0.8,294.66
HAND_RETREAT,0.81,294.64
HAND_RETREAT,0.82,294.6
HAND_RETREAT,0.83,294.6
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.12,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,0.08,296.72
HAND_RETREAT,0.08,297.18
HAND_RETREAT,0.12,297.08
HAND_RETREAT,0.09,297.0
HAND_RETREAT,0.11,297.02
HAND_RETREAT,0.11,296.94
HAND_RETREAT,0.14,296.86
HAND_RETREAT,0.13,296.74
HAND_RETREAT,0.14,296.56
HAND_RETREAT,0.16,296.44
HAND_RETREAT,0.17,296.3
HAND_RETREAT,0.2,296.2
HAND_RETREAT,0.24,295.92
HAND_RETREAT,0.22,295.8
HAND_RETREAT,0.27,295.66
HAND_RETREAT,0.32,295.52
HAND_RETREAT,0.36,295.4
HAND_RETREAT,0.38,295.22
HAND_RETREAT,0.4,295.06
HAND_RETREAT,0.43,295.04
HAND_RETREAT,0.46,294.98
HAND_RETREAT,0.5,294.98
HAND_RETREAT,0.55,294.78
HAND_RETREAT,0.6,294.86
HAND_RETREAT,0.65,294.78
HAND_RETREAT,0.75,294.7
HAND_RETREAT,0.79,294.6
HAND_RETREAT,0.83,294.52
HAND_RETREAT,0.85,294.54
HAND_RETREAT,0.87,294.48
HAND_RETREAT,0.82,294.48
HAND_RETREAT,3.12,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.12,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,0.1,295.66
HAND_RETREAT,0.16,296.32
HAND_RETREAT,0.09,296.68
HAND_RETREAT,0.1,296.68
HAND_RETREAT,0.1,296.68
HAND_RETREAT,0.17,296.54
HAND_RETREAT,0.15,296.24
HAND_RETREAT,0.19,295.86
HAND_RETREAT,0.22,295.68
HAND_RETREAT,0.27,295.56
HAND_RETREAT,0.29,295.44
HAND_RETREAT,0.32,295.26
HAND_RETREAT,0.37,295.1
HAND_RETREAT,0.4,295.04
HAND_RETREAT,0.47,294.98
HAND_RETREAT,0.48,294.94
HAND_RETREAT,0.51,294.82
HAND_RETREAT,0.53,294.72
HAND_RETREAT,0.57,294.76
HAND_RETREAT,0.61,294.72
HAND_RETREAT,0.64,294.72
HAND_RETREAT,0.71,294.64
HAND_RETREAT,0.7,294.58
HAND_RETREAT,0.74,294.6
HAND_RETREAT,0.83,294.6
HAND_RETREAT,0.85,294.58
HAND_RETREAT,0.81,294.54
HAND_RETREAT,0.81,294.52
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.14,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,0.06,296.3
HAND_RETREAT,0.06,297.48
HAND_RETREAT,0.07,297.9
HAND_RETREAT,0.09,297.86
HAND_RETREAT,0.1,297.48
HAND_RETREAT,0.11,297.14
HAND_RETREAT,0.14,296.68
HAND_RETREAT,0.16,296.38
HAND_RETREAT,0.19,296.14
HAND_RETREAT,0.2,295.96
HAND_RETREAT,0.42,295.8
HAND_RETREAT,0.27,295.58
HAND_RETREAT,0.29,295.38
HAND_RETREAT,0.31,295.2
HAND_RETREAT,0.34,295.2
HAND_RETREAT,0.36,295.06
HAND_RETREAT,0.38,295.06
HAND_RETREAT,0.43,295.0
HAND_RETREAT,0.46,294.94
HAND_RETREAT,0.51,294.86
HAND_RETREAT,0.54,294.72
HAND_RETREAT,0.53,294.72
HAND_RETREAT,0.56,294.78
HAND_RETREAT,0.58,294.7
HAND_RETREAT,0.58,294.7
HAND_RETREAT,0.61,294.7
HAND_RETREAT,0.62,294.6
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,0.47,294.64
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.14,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.14,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
HAND_RETREAT,3.13,-1.0
